=================================================================
  FUSSI Image Optimizer
  Source : C:\Users\mehme\Desktop\Stores\cozastore-master\images
  Output : C:\Users\mehme\Desktop\Stores\cozastore-master\images\webp
  Quality: 85  |  Max width: 2000px
  [OK]  images\de\37 (1).png -> images\webp\de\37-(1).webp  60.7% LARGER (source was already small)
  [OK]  images\de\38.png -> images\webp\de\38.webp  68.1% LARGER (source was already small)
  [OK]  images\de\39.png -> images\webp\de\39.webp  67.7% LARGER (source was already small)
  [OK]  images\de\4 (5).png -> images\webp\de\4-(5).webp  50.9% LARGER (source was already small)
  [OK]  images\de\40.png -> images\webp\de\40.webp  59.0% LARGER (source was already small)
  [OK]  images\de\41.png -> images\webp\de\41.webp  64.4% LARGER (source was already small)
  [OK]  images\de\42.png -> images\webp\de\42.webp  62.9% LARGER (source was already small)
  [OK]  images\de\43.png -> images\webp\de\43.webp  60.7% LARGER (source was already small)
  [OK]  images\de\44.png -> images\webp\de\44.webp  54.0% LARGER (source was already small)
  [OK]  images\de\45.png -> images\webp\de\45.webp  59.7% LARGER (source was already small)
  [OK]  images\de\46.png -> images\webp\de\46.webp  63.6% LARGER (source was already small)
  [OK]  images\de\47.png -> images\webp\de\47.webp  64.8% LARGER (source was already small)
  [OK]  images\de\48.png -> images\webp\de\48.webp  57.8% LARGER (source was already small)
  [OK]  images\de\49.png -> images\webp\de\49.webp  59.8% LARGER (source was already small)
  [OK]  images\de\5 (7).png -> images\webp\de\5-(7).webp  50.0% LARGER (source was already small)
  [OK]  images\de\50.png -> images\webp\de\50.webp  62.6% LARGER (source was already small)
  [OK]  images\de\51.png -> images\webp\de\51.webp  59.5% LARGER (source was already small)
  [OK]  images\de\52.png -> images\webp\de\52.webp  60.7% LARGER (source was already small)
  [OK]  images\de\6 (7).png -> images\webp\de\6-(7).webp  50.6% LARGER (source was already small)
  [OK]  images\de\7 (6).png -> images\webp\de\7-(6).webp  55.1% LARGER (source was already small)
  [OK]  images\de\8 (6).png -> images\webp\de\8-(6).webp  51.0% LARGER (source was already small)
  [OK]  images\de\9 (5).png -> images\webp\de\9-(5).webp  53.5% LARGER (source was already small)
  [OK]  images\de\about-01.jpg -> images\webp\de\about-01.webp  25.5% LARGER (source was already small)
  [OK]  images\de\about-02.jpg -> images\webp\de\about-02.webp  37.0% LARGER (source was already small)
  [OK]  images\de\avatar-01.jpg -> images\webp\de\avatar-01.webp  5.3% LARGER (source was already small)
  [OK]  images\de\banner-01.jpg -> images\webp\de\banner-01.webp  1.5% LARGER (source was already small)
  [OK]  images\de\banner-02.jpg -> images\webp\de\banner-02.webp  16.8% LARGER (source was already small)
  [OK]  images\de\banner-03.jpg -> images\webp\de\banner-03.webp  +45.7% size
  [OK]  images\de\banner-04.jpg -> images\webp\de\banner-04.webp  2.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_11aseg11aseg11as.png -> images\webp\de\product-de-001.webp  60.4% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_13va8n13va8n13va.png -> images\webp\de\product-de-002.webp  60.5% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_17ud0m17ud0m17ud.png -> images\webp\de\product-de-003.webp  52.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_180gey180gey180g.png -> images\webp\de\product-de-004.webp  56.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_1lz77u1lz77u1lz7 (1).png -> images\webp\de\product-de-005.webp  62.6% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_1lz77u1lz77u1lz7.png -> images\webp\de\product-de-006.webp  60.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_1r12811r12811r12.png -> images\webp\de\product-de-007.webp  61.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_27c9qs27c9qs27c9.png -> images\webp\de\product-de-008.webp  58.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_27x7g527x7g527x7.png -> images\webp\de\product-de-009.webp  59.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_30s9ly30s9ly30s9.png -> images\webp\de\product-de-010.webp  46.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_3c5p0t3c5p0t3c5p.png -> images\webp\de\product-de-011.webp  51.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_3vkdv03vkdv03vkd.png -> images\webp\de\product-de-012.webp  50.6% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_3yr3fw3yr3fw3yr3 (1).png -> images\webp\de\product-de-013.webp  59.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_3yr3fw3yr3fw3yr3.png -> images\webp\de\product-de-014.webp  59.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_4dw9704dw9704dw9.png -> images\webp\de\product-de-015.webp  60.4% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_50gf0i50gf0i50gf.png -> images\webp\de\product-de-016.webp  57.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_50hj7i50hj7i50hj.png -> images\webp\de\product-de-017.webp  53.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_52s3qp52s3qp52s3.png -> images\webp\de\product-de-018.webp  57.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_55a91q55a91q55a9.png -> images\webp\de\product-de-019.webp  57.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_5igrr35igrr35igr.png -> images\webp\de\product-de-020.webp  57.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_5jgmsa5jgmsa5jgm.png -> images\webp\de\product-de-021.webp  54.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_5mibuh5mibuh5mib.png -> images\webp\de\product-de-022.webp  62.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_5ojw4m5ojw4m5ojw.png -> images\webp\de\product-de-023.webp  51.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_5p525p525p525p52.png -> images\webp\de\product-de-024.webp  54.6% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_5wg5ow5wg5ow5wg5.png -> images\webp\de\product-de-025.webp  52.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_607um8607um8607u.png -> images\webp\de\product-de-026.webp  55.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_61btqk61btqk61bt.png -> images\webp\de\product-de-027.webp  58.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_688jmn688jmn688j.png -> images\webp\de\product-de-028.webp  59.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_69c1tm69c1tm69c1.png -> images\webp\de\product-de-029.webp  62.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_6avn8o6avn8o6avn.png -> images\webp\de\product-de-030.webp  61.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_6krxwt6krxwt6krx.png -> images\webp\de\product-de-031.webp  68.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_6qkxxc6qkxxc6qkx.png -> images\webp\de\product-de-032.webp  61.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_7feyvf7feyvf7fey.png -> images\webp\de\product-de-033.webp  58.7% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_7g68v7g68v7g68v7.png -> images\webp\de\product-de-034.webp  55.7% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_7mfzj27mfzj27mfz.png -> images\webp\de\product-de-035.webp  54.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_7pawmi7pawmi7paw.png -> images\webp\de\product-de-036.webp  61.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_85h0p685h0p685h0.png -> images\webp\de\product-de-037.webp  61.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_8wkxzc8wkxzc8wkx.png -> images\webp\de\product-de-038.webp  52.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_9cdecc9cdecc9cde.png -> images\webp\de\product-de-039.webp  50.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_9mx5nl9mx5nl9mx5.png -> images\webp\de\product-de-040.webp  64.5% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_9nd88y9nd88y9nd8.png -> images\webp\de\product-de-041.webp  62.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_9tombd9tombd9tom.png -> images\webp\de\product-de-042.webp  48.7% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_a44lc6a44lc6a44l.png -> images\webp\de\product-de-043.webp  55.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_aoc6ppaoc6ppaoc6.png -> images\webp\de\product-de-044.webp  62.6% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_az7csbaz7csbaz7c.png -> images\webp\de\product-de-045.webp  53.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_b2owy4b2owy4b2ow.png -> images\webp\de\product-de-046.webp  55.5% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_b4ilkob4ilkob4il.png -> images\webp\de\product-de-047.webp  59.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_bg8vt8bg8vt8bg8v.png -> images\webp\de\product-de-048.webp  51.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_bgiafsbgiafsbgia.png -> images\webp\de\product-de-049.webp  56.7% LARGER (source was already small)
  [ERR] images\de\Gemini_Generated_Image_bihaz6bihaz6biha.png  ERROR: image file is truncated
  [OK]  images\de\Gemini_Generated_Image_bp8exlbp8exlbp8e.png -> images\webp\de\product-de-051.webp  61.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_brlcqqbrlcqqbrlc (1).png -> images\webp\de\product-de-052.webp  61.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_brlcqqbrlcqqbrlc.png -> images\webp\de\product-de-053.webp  60.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_c5eavac5eavac5ea.png -> images\webp\de\product-de-054.webp  63.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_c5efc8c5efc8c5ef.png -> images\webp\de\product-de-055.webp  62.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_cb6yt3cb6yt3cb6y.png -> images\webp\de\product-de-056.webp  59.5% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_ccnsv1ccnsv1ccns.png -> images\webp\de\product-de-057.webp  57.9% LARGER (source was already small)
  [ERR] images\de\Gemini_Generated_Image_cibdaicibdaicibd.png  ERROR: image file is truncated
  [OK]  images\de\Gemini_Generated_Image_ckznxgckznxgckzn.png -> images\webp\de\product-de-059.webp  52.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_cu6q9ecu6q9ecu6q.png -> images\webp\de\product-de-060.webp  54.7% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_d0tc74d0tc74d0tc.png -> images\webp\de\product-de-061.webp  59.7% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_d52f7vd52f7vd52f.png -> images\webp\de\product-de-062.webp  50.8% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_d9stscd9stscd9st.png -> images\webp\de\product-de-063.webp  61.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_df3s83df3s83df3s.png -> images\webp\de\product-de-064.webp  47.7% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_dflmuadflmuadflm.png -> images\webp\de\product-de-065.webp  61.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_dhddcidhddcidhdd.png -> images\webp\de\product-de-066.webp  61.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_di6s6tdi6s6tdi6s.png -> images\webp\de\product-de-067.webp  62.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_duvtgvduvtgvduvt.png -> images\webp\de\product-de-068.webp  66.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_e78w35e78w35e78w.png -> images\webp\de\product-de-069.webp  48.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_e90w7pe90w7pe90w.png -> images\webp\de\product-de-070.webp  61.6% LARGER (source was already small)
